beer_brewery,beer_name,beer_type,beer_abv,beer_description,img_url,untappd_link,pack_format,beer_category,master_category
BrewLab,Razzletastic,Sour - Berliner Weisse,5.20%,Fruity AF,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,https://untappd.com/b/brewlab-charleston-razzletastic/4357317,4x16oz cans,Sour,local
BrewLab,Surface Tension,Lager - American,4.00%,North Carolina southern select heritage malt and a splash of Hallertau hops. The result is the perfect harmony between a German Pilsner and a Charleston lager.,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,https://untappd.com/b/brewlab-charleston-surface-tension-charleston-lager/4416316,4x16oz cans,Lager,local
Revelry,Lefty Loosey,IPA - American,7.70%,"Our old school topic the hat to the West Coast IPA. Brewed to a dry, crisp finish with a quenching double dry hop of cascade.",https://untappd.akamaized.net/site/beer_logos/beer-1443863_f1ce8_sm.jpeg,https://untappd.com/b/revelry-brewing-lefty-loosey/1443863,6x12oz cans,IPA,local
Revelry,Hotel Rendezvous,Kristallweizen,5.00%,Bavarian Wheat Beer,https://untappd.akamaized.net/site/beer_logos/beer-1042008_9b7dc_sm.jpeg,https://untappd.com/b/revelry-brewing-hotel-rendezvous/1042008,6x12oz cans,Wheat,local
Revelry,Marsh Hen,Cream Ale,5.00%,A collaboration between Revelry Brewing & Marsh Hen Mill.,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,https://untappd.com/b/revelry-brewing-marsh-hen/4161912,6x12oz cans,Lager,local
Revelry,Never Sunny,IPA - New England,7.00%,New England Style IPA,https://untappd.akamaized.net/site/beer_logos/beer-1636453_c7b28_sm.jpeg,https://untappd.com/b/revelry-brewing-never-sunny/1636453,6x12oz cans,IPA,local
Revelry,Poke the Bear,Pale Ale - American,5.50%,"A pale, refreshing and hoppy ale. Supporting malt and new world hops provide balance, drinkability and classic citrus, floral and tropical fruit characters. Go ahead… challenge the status quo… Poke The Bear!",https://untappd.akamaized.net/site/beer_logos/beer-719015_2c0b7_sm.jpeg,https://untappd.com/b/revelry-brewing-poke-the-bear/719015,6x12oz cans,Pale Ale,local
Revelry,Lazy Lover,Belgian Blonde,7.00%,"Golden and clear with a whipped head. Aroma of orange, spice and honey with supporting flavors. Most flavor is yeast derived and has a distinct Belgian yeast character with respect to ester/phenol profile.",https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,https://untappd.com/b/revelry-brewing-lazy-lover/2062481,6x12oz cans,Blonde,local
Sun Lab,Pure Sun,Sour - Fruited,5.70%,"American Sour Ale brewed with Pink Guava, Passion Fruit, Pineapple, and Orange Zest. Thirst quenching, tart, and punchy.",https://untappd.akamaized.net/site/beer_logos/beer-4410403_9c4cf_sm.jpeg,https://untappd.com/b/sun-lab-brewing-pure-sun/4410403,4x16oz cans,Sour,local
Athletic Brewing,Upside Dawn,Golden Ale,0.40%,"Refreshing, clean, balanced, light-bodied. Aromas subtle with floral and earthy notes. Brewed with premium organic malts from US & Germany along with combo of English and traditional American hops to the golden ale style. 50 Calories.",https://untappd.akamaized.net/site/beer_logos/beer-2640433_f8c85_sm.jpeg,https://untappd.com/b/athletic-brewing-company-upside-dawn-golden-ale-non-alcoholic/2640433,6x12oz cans,NA,local
Wölffer Estate Vineyard,No. 139 Dry Rosé Cider,Cider - Rose,6.90%,Our elegant premium sparkling dry cider is a reflection of soft summer hues of sunsets across the Hampton beaches. This unique hard cider is sourced from only the best New York State apples and represents a bohemian spirit that resides in everyone.,https://untappd.akamaized.net/site/beer_logos/beer-458722_ac6b5_sm.jpeg,https://untappd.com/b/wolffer-estate-vineyard-no-139-dry-rose-cider/458722,4x12oz cans,Cider,local
Coast,Hop Art,IPA - American,7.70%,Walking a fine line of sweet malt & assertive hop character. A hop presence so enticing it truly is a work of art.,https://untappd.akamaized.net/site/beer_logos/beer-8384_3e9d4_sm.jpeg,https://untappd.com/b/coast-brewing-company-hopart/8384,6x12oz cans,IPA,local
Coast,32°/50° Kölsch,Kolsch,4.80%,Our take on a kölsch style ale that is soft on the palate with a delicate malt flavor. Balanced with a touch of wheat and honey notes. Dry and wine like with a flowery hop finish,https://untappd.akamaized.net/site/beer_logos/beer-8914_0f868_sm.jpeg,https://untappd.com/b/coast-brewing-company-32-50-kolsch/8914,6x12oz cans,Kolsch,local
Fatty's,Lazy Hazy,IPA - New England,7.80%,New England style hazy IPA hopped with Mosaic and Citra.,https://untappd.akamaized.net/site/beer_logos/beer-2012722_e0ff0_sm.jpeg,https://untappd.com/b/fatty-s-beer-works-lazy-hazy/2012722,6x12oz cans,IPA,local
Freehouse,Folly's Pride Blonde,Golden Ale,4.80%,"A crisp golden session ale, with a mildly bitter citrus finish. Perfect for the porch or the beach, this Southern brew is perfect for any occasion. Like the beautiful beaches of the Lowcountry, the Folly’s keeps you coming back again and again. Enjoy the Folly. Drink your Pride!",https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,https://untappd.com/b/freehouse-brewery-south-carolina-folly-s-pride/714505,6x12oz cans,Blonde,local
Freehouse,Green Door IPA,IPA - American,6.20%,"Generous additions of organic American hops – citrusy, grassy, and herbal – combine with organic malts to strike a perfect balance with our house ale yeast. A crisp and fresh hop-flavored IPA. Open the Green Door.",https://untappd.akamaized.net/site/beer_logos/beer-975744_ecf01_sm.jpeg,https://untappd.com/b/freehouse-brewery-green-door-organic-ipa/975744,6x12oz cans,IPA,local
Freehouse,Battery Brown,Brown Ale - English,5.80%,,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,https://untappd.com/b/freehouse-brewery-battery-brown-ale/607426,6x12oz cans,Brown Ale,local
Glutenburg,IPA,Gluten Free,6.00%,"A true little bomb of flavours, it presents a perfect harmony between citrus aroma, hop freshness and bitterness. This beer guarantees a soft contact with taste buds, releasing apricot and soft caramel notes. Its exacerbated dry side makes its bouquet of flavours shine and ensures its good aromatic persistence.",https://untappd.akamaized.net/site/beer_logos/beer-394029_ee08c_sm.jpeg,https://untappd.com/b/glutenberg-craft-brewery-india-pale-ale/394029,4x16oz cans,IPA,local
